Comune;Provincia;Positivi;Positivi per 100 abitanti;Abitanti;Verificato;Data;Codice ISTAT
Chialamberto;TO;27;73;368;;2020/04/20;001075
Odalengo Grande;AL;25;59;423;;2020/04/20;006116
Grana;AT;29;49;595;;2020/04/20;005056
Costanzana;VC;31;41;757;;2020/04/20;002047
Belgirate;VCO;19;38;503;;2020/04/20;103010
Brusasco;TO;50;33;1528;;2020/04/20;001039
Borgolavezzaro;NO;64;32;2030;;2020/04/20;003023
Montechiaro d'Asti;AT;39;31;1266;;2020/04/20;005075
Bosconero;TO;91;29;3133;;2020/04/20;001033
Premosello-Chiovenda;VCO;57;29;1941;;2020/04/20;103057
Dormelletto;NO;69;27;2585;;2020/04/20;003062
Albugnano;AT;13;26;505;;2020/04/20;005002
Valchiusa;TO;27;26;1032;;2020/04/20;001318
Vesime;AT;15;25;608;;2020/04/20;005113
Casal Cermelli;AL;29;24;1221;;2020/04/20;006037
Lozzolo;VC;20;24;824;;2020/04/20;002072
Montegioco;AL;7;23;304;;2020/04/20;006107
Vogogna;VCO;40;23;1756;;2020/04/20;103077
Rocchetta Tanaro;AT;32;23;1422;;2020/04/20;005096
Soglio;AT;3;21;146;;2020/04/20;005107
Roccaforte Mondovì;CN;42;20;2143;;2020/04/20;004190
Sale;AL;80;20;4043;;2020/04/20;006151
Govone;CN;42;19;2217;;2020/04/20;004099
Casalnoceto;AL;19;19;978;;2020/04/20;006040
Fubine Monferrato;AL;30;19;1604;;2020/04/20;006076
Mandello Vitta;NO;4;18;228;;2020/04/20;003090
Pogno;NO;25;18;1415;;2020/04/20;003120
Stazzano;AL;43;18;2395;;2020/04/20;006167
Lauriano;TO;24;17;1436;;2020/04/20;001129
Portacomaro;AT;35;17;2027;;2020/04/20;005087
San Carlo Canavese;TO;63;16;4024;;2020/04/20;001237
Miazzina;VCO;6;16;382;;2020/04/20;103045
Albano Vercellese;VC;5;16;321;;2020/04/20;002003
Paderna;AL;3;16;189;;2020/04/20;006124
Priocca;CN;32;16;1991;;2020/04/20;004176
Desana;VC;17;16;1064;;2020/04/20;002054
Murisengo;AL;22;16;1364;;2020/04/20;006113
Montescheno;VCO;6;15;392;;2020/04/20;103047
Olcenengo;VC;12;15;782;;2020/04/20;002088
Montemagno;AT;16;14;1115;;2020/04/20;005077
Casalbeltrame;NO;13;14;938;;2020/04/20;003037
Cella Monte;AL;7;14;499;;2020/04/20;006056
Castelnuovo Scrivia;AL;74;14;5124;;2020/04/20;006053
Castellazzo Bormida;AL;64;14;4526;;2020/04/20;006047
Roccavione;CN;36;14;2653;;2020/04/20;004192
Camerano Casasco;AT;6;14;442;;2020/04/20;005016
Orta San Giulio;NO;17;13;1322;;2020/04/20;003112
Cavour;TO;73;13;5492;;2020/04/20;001070
Sanfront;CN;30;13;2354;;2020/04/20;004209
Nole;TO;86;13;6817;;2020/04/20;001166
Scarmagno;TO;10;12;830;;2020/04/20;001261
Montaldo Scarampi;AT;9;12;747;;2020/04/20;005074
Moncalvo;AT;35;12;2861;;2020/04/20;005069
Tonco;AT;10;12;809;;2020/04/20;005109
Ghemme;NO;43;12;3499;;2020/04/20;003073
Biandrate;NO;15;12;1302;;2020/04/20;003018
Villaromagnano;AL;8;12;670;;2020/04/20;006186
Villadeati;AL;6;12;487;;2020/04/20;006182
Cavallirio;NO;16;12;1343;;2020/04/20;003047
Cossogno;VCO;8;12;679;;2020/04/20;103023
Sozzago;NO;13;12;1070;;2020/04/20;003141
Cigliano;VC;55;12;4426;;2020/04/20;002042
Cavallermaggiore;CN;66;12;5432;;2020/04/20;004059
Cissone;CN;1;12;86;;2020/04/20;004070
Monleale;AL;6;11;566;;2020/04/20;006101
Gambasca;CN;4;11;350;;2020/04/20;004094
Villastellone;TO;51;11;4659;;2020/04/20;001308
Cinaglio;AT;5;11;443;;2020/04/20;005039
Brandizzo;TO;100;11;8738;;2020/04/20;001034
Collobiano;VC;1;11;88;;2020/04/20;002045
Farigliano;CN;19;11;1777;;2020/04/20;004086
Ternengo;BI;3;11;280;;2020/04/20;096067
Invorio;NO;44;10;4394;;2020/04/20;003082
Villanova Mondovì;CN;59;10;5794;;2020/04/20;004245
Crescentino;VC;75;10;7786;;2020/04/20;002049
Antignano;AT;10;10;961;;2020/04/20;005003
Celle Enomondo;AT;5;10;477;;2020/04/20;005034
Aurano;VCO;1;10;103;;2020/04/20;103005
Guazzora;AL;3;10;303;;2020/04/20;006086
Castelspina;AL;4;10;420;;2020/04/20;006054
Occhieppo Superiore;BI;27;10;2691;;2020/04/20;096041
Pollone;BI;21;10;2112;;2020/04/20;096046
Quattordio;AL;14;9;1587;;2020/04/20;006142
Nebbiuno;NO;17;9;1809;;2020/04/20;003103
Oleggio;NO;134;9;14156;;2020/04/20;003108
Solonghello;AL;2;9;212;;2020/04/20;006164
Terruggia;AL;8;9;928;;2020/04/20;006171
Occhieppo Inferiore;BI;37;9;3902;;2020/04/20;096040
Settime;AT;5;9;550;;2020/04/20;005106
Fontanile;AT;5;9;553;;2020/04/20;005054
Oldenico;VC;2;9;219;;2020/04/20;002089
Vallanzengo;BI;2;9;216;;2020/04/20;096072
Moncrivello;VC;13;9;1395;;2020/04/20;002079
Roaschia;CN;1;9;107;;2020/04/20;004183
Alpignano;TO;144;9;16379;;2020/04/20;001008
Greggio;VC;3;9;349;;2020/04/20;002065
Belveglio;AT;3;9;325;;2020/04/20;005008
San Sebastiano Curone;AL;5;9;583;;2020/04/20;006155
Portula;BI;10;8;1192;;2020/04/20;096048
Cameri;NO;92;8;10856;;2020/04/20;003032
Condove;TO;38;8;4596;;2020/04/20;001093
Lessona;BI;22;8;2724;;2020/04/20;096085
Sezzadio;AL;10;8;1257;;2020/04/20;006161
Ovada;AL;85;8;11299;;2020/04/20;006121
Cercenasco;TO;14;8;1809;;2020/04/20;001071
Ferrere;AT;12;8;1556;;2020/04/20;005053
Castel Rocchero;AT;3;8;391;;2020/04/20;005032
Montacuto;AL;2;8;252;;2020/04/20;006102
Masio;AL;11;8;1364;;2020/04/20;006091
Casasco;AL;1;8;132;;2020/04/20;006041
Omegna;VCO;116;8;15190;;2020/04/20;103050
San Colombano Belmonte;TO;3;8;354;;2020/04/20;001238
Verbania;VCO;233;8;30505;;2020/04/20;103072
Bairo;TO;6;8;800;;2020/04/20;001015
Marene;CN;28;8;3323;;2020/04/20;004117
Carignano;TO;77;8;9274;;2020/04/20;001058
Corio;TO;24;7;3209;;2020/04/20;001094
Volpiano;TO;109;7;15450;;2020/04/20;001314
Inverso Pinasca;TO;5;7;702;;2020/04/20;001122
San Mauro Torinese;TO;125;7;18910;;2020/04/20;001249
San Maurizio Canavese;TO;76;7;10314;;2020/04/20;001248
Antrona Schieranco;VCO;3;7;419;;2020/04/20;103001
Casalino;NO;11;7;1525;;2020/04/20;003040
Brignano-Frascata;AL;3;7;437;;2020/04/20;006024
Viverone;BI;10;7;1411;;2020/04/20;096080
Tortona;AL;197;7;27291;;2020/04/20;006174
Predosa;AL;14;7;1975;;2020/04/20;006140
Pontecurone;AL;26;7;3550;;2020/04/20;006132
Cerreto Grue;AL;2;7;303;;2020/04/20;006058
Castelletto Merli;AL;3;7;448;;2020/04/20;006050
Carezzano;AL;3;7;440;;2020/04/20;006032
Bergamasco;AL;5;7;720;;2020/04/20;006015
Vicolungo;NO;6;7;876;;2020/04/20;003159
Cortanze;AT;2;7;280;;2020/04/20;005046
Trinità;CN;15;7;2246;;2020/04/20;004232
Sommariva del Bosco;CN;47;7;6333;;2020/04/20;004222
Rocca Cigliè;CN;1;7;134;;2020/04/20;004188
Perletto;CN;2;7;269;;2020/04/20;004161
Garessio;CN;20;7;3056;;2020/04/20;004095
Cavallerleone;CN;5;7;686;;2020/04/20;004058
Berzano di San Pietro;AT;3;7;415;;2020/04/20;005009
Canale;CN;40;7;5609;;2020/04/20;004037
Brozolo;TO;3;7;436;;2020/04/20;001037
Cambiano;TO;40;7;5980;;2020/04/20;001048
Premeno;VCO;5;7;730;;2020/04/20;103055
Caravino;TO;6;7;902;;2020/04/20;001056
Cambiasca;VCO;11;7;1623;;2020/04/20;103015
Borgaro Torinese;TO;81;7;11912;;2020/04/20;001028
Isola Sant'Antonio;AL;4;6;685;;2020/04/20;006087
Rocchetta Belbo;CN;1;6;160;;2020/04/20;004193
Carentino;AL;2;6;318;;2020/04/20;006031
Poirino;TO;58;6;10412;;2020/04/20;001197
Villareggia;TO;6;6;1055;;2020/04/20;001304
Morozzo;CN;13;6;2004;;2020/04/20;004144
Pietra Marazzi;AL;5;6;901;;2020/04/20;006129
Polonghera;CN;7;6;1140;;2020/04/20;004171
Priola;CN;4;6;687;;2020/04/20;004177
Pomaretto;TO;6;6;1011;;2020/04/20;001198
Berzano di Tortona;AL;1;6;154;;2020/04/20;006016
Trofarello;TO;69;6;10858;;2020/04/20;001280
Pralormo;TO;12;6;1905;;2020/04/20;001203
Bardonecchia;TO;19;6;3149;;2020/04/20;001022
Casorzo;AT;4;6;618;;2020/04/20;005020
Castell'Alfero;AT;15;6;2671;;2020/04/20;005025
Vignone;VCO;7;6;1195;;2020/04/20;103074
Silvano d'Orba;AL;11;6;1935;;2020/04/20;006162
Serralunga di Crea;AL;3;6;535;;2020/04/20;006159
Locana;TO;9;6;1438;;2020/04/20;001134
Carmagnola;TO;177;6;28969;;2020/04/20;001059
Vercelli;VC;256;6;46035;;2020/04/20;002158
San Gillio;TO;18;6;3193;;2020/04/20;001243
Ozzano Monferrato;AL;8;6;1402;;2020/04/20;006123
Arborio;VC;5;6;862;;2020/04/20;002006
Casteldelfino;CN;1;6;158;;2020/04/20;004047
Scopello;VC;2;6;362;;2020/04/20;002135
Santhià;VC;48;6;8468;;2020/04/20;002133
Borgomanero;NO;136;6;21666;;2020/04/20;003024
Garbagna;AL;4;6;661;;2020/04/20;006079
Dernice;AL;1;6;181;;2020/04/20;006066
Fara Novarese;NO;13;6;2037;;2020/04/20;003065
Garbagna Novarese;NO;9;6;1433;;2020/04/20;003069
Castelletto d'Orba;AL;11;6;1960;;2020/04/20;006049
Monastero di Lanzo;TO;2;6;346;;2020/04/20;001155
Cisterna d'Asti;AT;7;6;1224;;2020/04/20;005040
Lamporo;VC;3;6;508;;2020/04/20;002067
Caresanablot;VC;7;6;1123;;2020/04/20;002031
Miasino;NO;5;6;794;;2020/04/20;003098
Momo;NO;16;6;2494;;2020/04/20;003100
Nibbiola;NO;5;6;827;;2020/04/20;003104
Sizzano;NO;9;6;1430;;2020/04/20;003139
Novara;NO;612;6;104279;;2020/04/20;003106
Romagnano Sesia;NO;23;6;3894;;2020/04/20;003130
Madonna del Sasso;VCO;2;5;405;;2020/04/20;103040
Oggebbio;VCO;4;5;873;;2020/04/20;103049
Casale Monferrato;AL;180;5;33725;;2020/04/20;006039
Pino d'Asti;AT;1;5;219;;2020/04/20;005085
Nonio;VCO;4;5;861;;2020/04/20;103048
Castelletto Monferrato;AL;7;5;1501;;2020/04/20;006051
Pessinetto;TO;3;5;617;;2020/04/20;001188
Villa San Secondo;AT;2;5;381;;2020/04/20;005119
Rivarossa;TO;8;5;1592;;2020/04/20;001218
Rivalba;TO;6;5;1153;;2020/04/20;001213
Alessandria;AL;473;5;93631;;2020/04/20;006003
Acqui Terme;AL;107;5;19604;;2020/04/20;006001
Salbertrand;TO;3;5;617;;2020/04/20;001232
Vanzone con San Carlo;VCO;2;5;382;;2020/04/20;103070
Moiola;CN;1;5;217;;2020/04/20;004123
Casaleggio Novara;NO;5;5;915;;2020/04/20;003039
Ronsecco;VC;3;5;567;;2020/04/20;002118
Borgone Susa;TO;10;5;2209;;2020/04/20;001032
Quinto Vercellese;VC;2;5;399;;2020/04/20;002108
Borgomasino;TO;4;5;788;;2020/04/20;001031
Pezzana;VC;7;5;1292;;2020/04/20;002093
Granozzo con Monticello;NO;7;5;1381;;2020/04/20;003077
Maggiora;NO;8;5;1658;;2020/04/20;003088
Beinasco;TO;83;5;17936;;2020/04/20;001024
Caramagna Piemonte;CN;15;5;3090;;2020/04/20;004041
Cigliè;CN;1;5;185;;2020/04/20;004069
Mondovì;CN;119;5;22406;;2020/04/20;004130
Cerro Tanaro;AT;3;5;607;;2020/04/20;005036
Pocapaglia;CN;17;5;3328;;2020/04/20;004170
Prunetto;CN;2;5;423;;2020/04/20;004178
Vezza d'Alba;CN;12;5;2285;;2020/04/20;004241
Torre Canavese;TO;3;5;601;;2020/04/20;001274
Asti;AT;373;5;76026;;2020/04/20;005005
Melazzo;AL;7;5;1293;;2020/04/20;006092
Sparone;TO;5;5;970;;2020/04/20;001267
Calliano;AT;7;5;1278;;2020/04/20;005014
Castagnole delle Lanze;AT;19;5;3748;;2020/04/20;005022
Sauze d'Oulx;TO;5;5;1096;;2020/04/20;001259
Cerreto d'Asti;AT;1;5;219;;2020/04/20;005035
Susa;TO;31;5;6256;;2020/04/20;001270
Villarboit;VC;2;5;427;;2020/04/20;002163
Bognanco;VCO;1;5;188;;2020/04/20;103012
Mombello Monferrato;AL;5;5;1010;;2020/04/20;006097
Levone;TO;2;5;442;;2020/04/20;001133
Germagno;VCO;1;5;190;;2020/04/20;103032
Alluvioni Piovera;AL;9;5;1738;;2020/04/20;006192
Moncalieri;TO;289;5;57527;;2020/04/20;001156
Sala Biellese;BI;3;5;592;;2020/04/20;096057
Chivasso;TO;137;5;26909;;2020/04/20;001082
Valle San Nicolao;BI;5;5;951;;2020/04/20;096074
Casapinta;BI;2;5;419;;2020/04/20;096014
Netro;BI;5;5;972;;2020/04/20;096039
Magnano;BI;2;5;394;;2020/04/20;096030
Solero;AL;9;5;1665;;2020/04/20;006163
Sant'Agata Fossili;AL;2;5;400;;2020/04/20;006156
San Giorgio Monferrato;AL;6;5;1215;;2020/04/20;006153
